Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Casa en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-el-poblado-medellin/194058103,194058103,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6cb435a3360_infocdn__gr-casa-en-venta-o-arriendo-de-31-1758318752-4979-3594jpeg.jpeg,[],$ 2.000.000.000,4 Habs. 6 Baños 315 m²,"Casa en venta en el poblado, medellín","Casa enMedellín, Antioquia",GUILLERMO DUQUE INMOBILIARIA S.A.S,Llamar,"Magnífica casa en venta o en Arriendo. Está Ubicada en la transversal inferior, empezando a subir la loma de La cola del zorro. Es una casa bastante amplia con espacios muy privados, sus cuatro habitaciones independientes. Posee cada una su baño y su vestier. Tiene un parqueadero amplio hasta para seis carros, de los cuales tiene parqueadero cubierto para dos carros motos y mucho más. Tiene Buena Vista desde la casa. Está muy fácil de remodelar a su gusto. Posee espacios grandes dentro de la misma casa como terraza y zonas verdes. La urbanización posee piscina, gimnasio, cancha de squash, salón, Social y Porteria, 24 horas. aprovecha esta gran oportunidad. $2.000.000.000 dos mil millones de pesos.",[],6.2078548451976,-75.550119452177,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Loma de los bernal, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-de-los-bernal-medellin/193905255,193905255,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a539cb960475_infocdn__gr-apartamento-en-venta-en-la-lom-1779900076-4683-9437jpeg.jpeg,[],$ 570.000.000,3 Habs. 2 Baños 78 m²,"Apartamento en venta en loma de los bernal, medellín","Apartamento enMedellín, Antioquia",Susana Laverde,Llamar,"? apartamento en venta en la Loma de los Bernal parte bajaCon Cercanias rutas de transporte, colegio, supermercados, Al Nuevo FarmatodoConsta de 75 mts ,3 Alcobas2 Baños, sala, comedor, cocina, integral, Y zona de ropa, balcón con LindavistaParqueadero y cuarto útilEstrato5Administración 436.000",[],6.2193369972235,-75.602406819487,,,,,,,,,,,,,,2026-08-02
"GUAYACANES, Apartamentos en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/guayacanes-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345661,10345661,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/814c4eb2-1fe9-4b27-b5b6-5dcac39307a7/photos/814c4eb2-1fe9-4b27-b5b6-5dcac39307a7_1_True_ee306f9f-07a9-46ed-b883-e7493f077f49.jpeg,[],Desde $ 953.000.000,3 Habs. 3 Baños 96 m²,"Guayacanes, apartamentos en venta en ciudad del río, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"""Guayacanes va más allá de ser un proyecto residencial; es un estilo de vida inmerso en el vibrante corazón de Ciudad del Río, una zona enconstante evolución urbanística, donde el comercio, el entretenimiento, la gastronomía y la cultura están al alcance de tu mano. Su estratégica ubicación cerca de las arterias principales de la ciudad, como la Autopista Sur, la Avenida Regional, la Av. Los Industriales, Calle 30 y la Avenida el Poblado, garantiza un acceso rápido y conveniente. Las áreas comunes de Guayacanes están diseñadas para toda la familia e incluyen piscinas, zonas húmedas, una cancha de pádel, entre otros.""",[],6.2222132931876,-75.57352978413,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"SAMAN, Apartamento en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/saman-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345713,10345713,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/22143443-fc63-4b6d-bb75-c0c56930a81d/photos/22143443-fc63-4b6d-bb75-c0c56930a81d_7_False_58c9c2a0-0160-4947-9eea-6dbb400232de.jpeg,[],Desde $ 640.000.000,1 Hab 2 Baños 56 m²,"Saman, apartamento en venta en ciudad del río, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"""Samán es un proyecto residencial de vivienda ubicado en Ciudad del Río, dentro del gran desarrollo urbano Jardines del Río. Este sector experimenta una emocionante transformación urbana, con una amplia gama de opciones en comercio, entretenimiento, gastronomía y cultura. Se encuentra estratégicamente ubicado cerca de importantes vías de la ciudad, como la Autopista Sur, la Avenida Regional, entre otras. En Samán, tendrás todo lo que necesitas a poca distancia de tu hogar. Además, las áreas comunes del proyecto proporcionarán un espacio de esparcimiento ideal para toda la familia.""",[],6.2225929,-75.5731185,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"Apartamento en Venta en Loma de los bernal, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-de-los-bernal-medellin/193802712,193802712,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a53039748475_infocdn__e41icppahfifxehghpuqwzsht7zdpissvfop8fkqjpg.jpg,[],$ 520.000.000,3 Habs. 2 Baños 73 m²,"Apartamento en venta en loma de los bernal, medellín","Apartamento enMedellín, Antioquia",Lina Uribe Propiedad Raiz,Llamar,"Apartamento en buen estado para venta en Loma de los Bernal (parte alta), piso 13 con excelente vista a la Loma y al cerro de la 3 cruces, no recibe poniente directo,SOLO PARA VENTA DE CONTADO, cuenta con porqueadero cubierto, la alcoba ppal. tiene balcón y baño privado, la unidad es estrato 4, las torres tienen ascensor piso intermedio, la zona de parqueaderos es una torre aparte de parqueaderos,  la unidad cuenta con portería 24/h, piscina salón social, gimnasio, amplia zona verde, canchas de tenis, futbol en grama y múltiple, parque infantil; El sector cuenta con buen servicio del sistema Metro con alimentadores que van hasta la estación del metroplus de Belén la Palma, supermercados cerca, iglesias, centros comerciales, clínicas, colegios, universidades  y proximamente un mall comercial.  Para mayor información o agendar cita para visitarlo, puede enviar mensaje por WhatsApp o llamarnos que con gusto será atendido.",[],6.2194607,-75.6090105,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Belen Malibu, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-malibu-medellin/193874729,193874729,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a2d93d4252a6_infocdn__gr80269520260613121423png.png,[],$ 700.000.000,2 Habs. 2 Baños 62 m²,"Apartamento en venta en belen malibu, medellín","Apartamento enMedellín, Antioquia",Liliana Inmobiliaria,Llamar,"CESIÓN DE DERECHOS | MOKANA CLUB RESIDENCIAL | BELÉN MALIBÚ | 62,60 m² | PARQUEADERO Y CUARTO ÚTILInvierte en uno de los proyectos residenciales con mayor potencial de valorización de Medellín. Se ofrece cesión de derechos de apartamento en Mokana Club Residencial – Torre 1, ubicado en el exclusivo sector de Belén Malibú (antiguo Cafetero), una zona central y altamente demandada por su excelente conectividad, entorno residencial y cercanía a servicios, comercio, universidades y principales vías de la ciudad.Con 62,60 m², este apartamento ofrece una distribución moderna y funcional: cocina abierta, zona de ropas independiente, sala-comedor, estudio, balcón, baño social o familiar y dos alcobas. La alcoba principal cuenta con baño privado y vestier, brindando mayor comodidad y privacidad.La propiedad incluye parqueadero privado y cuarto útil, dos características altamente valoradas que incrementan su atractivo y potencial de valorización.Características:• Área: 62,60 m² • Entrega estimada: 2027• Cocina abierta • Sala-comedor • Estudio • Balcón• Baño familiar • Zona de ropas • 2 Alcobas (Alcoba principal con baño y vestier)• Vista interior • Full acabados • Parqueadero privado • Cuarto útilValor de cesión: $700.000.000Mokana Club Residencial ofrecerá completas zonas comunes tipo club, incluyendo piscina para adultos y niños, gimnasio, coworking, salón social, zonas verdes, espacios para mascotas, juegos i",[],6.2376793,-75.5872279,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Belén, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/194054174,194054174,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6b81394a845_infocdn__gr-venta-de-magnfico-apartamento-1778202916-9284-85jpeg.jpeg,[],$ 715.000.000,3 Habs. 2 Baños 84 m²,"Apartamento en venta en belén, medellín","Apartamento enMedellín, Antioquia",GUILLERMO DUQUE INMOBILIARIA S.A.S,Llamar,"Este hermoso Apartamento, ubicado en la loma de los Bernal, Medellin.Es una opción magnífica,ya que tiene mejoras de madera y de iluminación.Se entrega vacío y totalmente pintado listo para habitar.En las fotos se puede visualizar con los muebles,para tener una visual del espacio ya amoblado.Es un piso alto con una gran vista.Tiene su parqueadero y su cuarto útil.La urbanización es muy completa,con cancha de fútbol, gimnasio,zona de golfito, kiosco para Fiestas,salón Social, piscina, Porteria, 24 horas y muy buenos parqueaderos de Visitantes,sólo a dos calles está el Supermercado el euro.Al salir del edificio hay transporte público todo el tiempo. Negociable.",[],6.2168816326179,-75.604847209373,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193754864,193754864,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a3e8f5ebdef4_infocdn__a274b05f-f7e4-43c1-ae4f-5e04089d3c74.jpeg,[],$ 1.150.000.000,3 Habs. 3 Baños 165 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Gestión Inmobiliaria,Llamar,"Excelente apartamento de 165 metros remodelado con áreas amplias e iluminado, cuenta con 3 alcobas amplias, 3 baños modernos terminados de lujo, sala comedor amplia, balcón con excelente vista a zonas verdes, cocina integral moderna amplia, zona de ropas, todas alcobas con closet y la principal con Vestier. dos parqueaderos privados y un cuarto útil.  Este apartamento se encuentra en conjunto cerrado con portería 24 horas, ascensor, piscina, juegos infantiles, zonas verdes. muy cerca del centro comercial mall plaza, excelente rutas de transporte, muy cerca de restaurantes, bancos, zona rosa del poblado. admon$1.126.504.  ***",[],6.2123662,-75.5597196,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Belén, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/193994360,193994360,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a5fe99502081_infocdn__picture-784ad1c9ccc949d18396b9e8cec9c3e0jpeg.jpeg,[],$ 1.100.000.000,3 Habs. 3 Baños 114 m²,"Apartamento en venta en belén, medellín","Apartamento enMedellín, Antioquia",Tu360Inmobiliario,Llamar,"En venta Apartamento de 114 m² con 20m2 aprox de terraza con pérgola en el barrio loma de los Bernal . Con una amplia sala-comedor, 3 habitaciones , 3 baños cocina integral y zona de ropas independiente. La habitación principal cuenta con vestier y baño privado. Disfruta de un balcón , parqueadero cubierto y cuarto útil. La urbanización ofrece piscina, gimnasio, parqueadero de visitantes, juegos infantiles y sendero para mascotas. Excelente ubicación con acceso a transporte y en una zona residencial tranquila, ideal para familias que buscan comodidad y calidad de vida. ¡Una opción perfecta para tu nuevo hogar!",[],6.2160936,-75.6083692,,,,,,,,,,,,,,2026-08-02
"Casa en Venta en Las palmas, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-las-palmas-medellin/193258038,193258038,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a9c25b45f1e_infocdn__gr757553620251220072615jpeg.jpeg,[],$ 13.500.000.000,6 Habs. 10 Baños 13500 m²,"Casa en venta en las palmas, medellín","Casa enMedellín, Antioquia",TORO ASSET CAPITAL,Llamar,"Venta de casa en Las Palmas, MedellínÁrea del lote: 13.500 M2Área construida: 1.800 M2A pocos minutos del Aeropuerto Internacional José María Córdoba, una deliciosa temperatura promedio todo el año de 23° grados centígrados, excelente vista de la ciudad de Medellín.6 Suites, 11 baños, pisos en mármol de la mejor calidad, gimnasio dotado, sauna, jacuzzi, turco, piscina infinity, bar, Billar Pool, 2 habitaciones para empleados, 3 cuartos útiles, parqueadero cubierto para 8 vehículos,Circuito cerrado de videovigilancia, 2 porterías (Una portería de la Parcelación con vigilancia 24 horas y otra portería privada solo para esta casa), domotizada (Control de la casa vía internet).$13.500.000.000",[],6.1915517,-75.5473556,,,,,,,,,,,,,,2026-08-02
"Apartamento en venta en Zuñiga, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-zuñiga-medellin/10169459,10169459,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/55c2f58d-6c1c-4606-958b-834a57734a14/photos/55c2f58d-6c1c-4606-958b-834a57734a14_2_False_b21322da-da3d-40cc-8bb8-1ea471d32e2d.jpeg,[],$ 1.650.000.000,4 Habs. 5 Baños 242 m²,"Apartamento en venta en zuñiga, medellín","Apartamento enMedellín, Antioquia",Rafael Arango y CIA,Llamar,"Descubra el lujo y la comodidad en este espectacular apartamento a estrenar, ubicado en el prestigioso sector de Zúñiga en Envigado. Con un área generosa de 242 metros cuadrados y situado en el piso 15, disfrutará de impresionantes vistas panorámicas que quitan el aliento. Este hogar ha sido diseñado pensando en el confort y la privacidad, ofreciendo tres amplias alcobas, cada una con baño privado y closet. La alcoba principal es un verdadero santuario, destacando por su gran tamaño, baño en suite, un espacioso vestier y un closet adicional, además de un balcón privado para disfrutar del aire fresco. La funcionalidad se extiende a la alcoba de servicio, también equipada con baño y closet. Las áreas sociales son excepcionalmente amplias, complementadas por una gran despensa y acabados de lujo que realzan cada rincón. Imagine sus reuniones en la semi-terraza, perfecta para disfrutar de un BBQ, mientras la cocina abierta se integra armoniosamente con el área social. Adicionalmente, cuenta con una biblioteca y un área dedicada para televisión, ofreciendo espacios versátiles para toda la familia. La propiedad incluye dos garajes paralelos y un cuarto útil muy amplio, brindando soluciones prácticas de almacenamiento. La unidad  ofrece amenidades de primer nivel como vigilancia - porteria  24/7  gimnasio, sauna, turco y un elegante salón social, todo dentro de dos  torres que tiene la unidad , con dos ascensores para su comodidad en cada torre . La ubicación es inmejorable, en un barrio plano y tranquilo, a pocos pasos de puntos de interes como supermercados, bancos , centros de salud.",[],6.1848592,-75.5808181,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Las palmas, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-las-palmas-medellin/193858375,193858375,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a28a3c2667bb_infocdn__ywmxvcg2vrshvl6gf2fj5v7jfdn5yandzaex4bwcjpg.jpg,[],$ 745.000.000,2 Habs. 2 Baños 76 m²,"Apartamento en venta en las palmas, medellín","Apartamento enMedellín, Antioquia",John F. Rodriguez Propiedad Raíz,Llamar,"Exclusivo apartamento para estrenar ubicado sobre la vía Las Palmas, en uno de los sectores de mayor valorización y proyección de Medellín, muy cerca al Club Campestre Ejecutivos, con una ubicación estratégica que permite fácil acceso al túnel de Oriente, aeropuerto José María Córdova, El Poblado, centro de Medellín y centro comercial San Diego. Ubicado en piso alto, este moderno apartamento ofrece una vista simplemente imponente hacia el norte y sur de la ciudad, donde cada atardecer se convierte en un verdadero espectáculo. Cuenta con un área de 76.81 mts², distribuidos en dos cómodas alcobas, amplios espacios interiores, excelente iluminación natural, moderna cocina abierta y acabados contemporáneos que brindan confort y elegancia. La unidad residencial está conformada por modernas torres de 25 pisos y ofrece completas zonas comunes pensadas para disfrutar en familia: piscina, jacuzzi, sauna y espacios ideales para el descanso y la recreación. Además, el inmueble incluye parqueadero privado y cuarto útil. Una excelente oportunidad para vivir o invertir en un sector exclusivo, moderno y con alta valorización, rodeado de naturaleza, tranquilidad y excelente conectividad. PROPIEDAD SUJETA A DISPONIBILIDAD. CITA PREVIA. CÓDIGO WEB AP117.",[],6.2229668,-75.5615022,,,,,,,,,,,,,,2026-08-02
